Episode,TotalReward,Epsilon
0,0.30392,5
1,0.2005,1
2,0.204341,5
3,0.20812,4
4,0.207653,3
5,0.206142,1
6,0.209805,0
7,0.213345,0
8,0.21188,7
9,0.211824,2
10,0.215665,0
11,0.215125,3
12,0.21321,1
13,0.211757,7
14,0.210722,7
15,0.214596,4
16,0.213753,3
17,0.216778,4
18,0.215779,3
19,0.213751,6
20,0.21668,5
21,0.21547,6
22,0.214376,2
23,0.218179,5
24,0.217944,3
25,0.220658,0
26,0.219881,3
27,0.21854,3
28,0.216255,1
29,0.214592,6
30,0.212445,6
31,0.215275,0
32,0.213584,6
33,0.211424,1
34,0.210812,2
35,0.209695,6
36,0.2126,5
37,0.211374,6
38,0.210263,2
39,0.210124,3
40,0.208096,1
41,0.211467,4
42,0.214313,5
43,0.212953,7
44,0.216528,4
45,0.219154,5
46,0.217657,7
47,0.21725,3
48,0.21486,7
49,0.213506,7
50,0.21218,6
51,0.21097,3
52,0.213727,5
53,0.217198,5
54,0.21573,7
55,0.215354,3
56,0.217893,5
57,0.217401,2
58,0.220913,4
59,0.218338,1
60,0.217338,3
61,0.219725,0
62,0.218651,3
63,0.220939,0
64,0.223719,0
65,0.221509,1
66,0.219356,1
67,0.217258,1
68,0.215213,6
69,0.21755,5
70,0.216987,2
71,0.215529,7
72,0.215101,3
73,0.21352,3
74,0.211005,1
75,0.21399,5
76,0.213473,2
77,0.21304,3
78,0.215416,0
79,0.214341,2
80,0.217809,4
81,0.215103,7
82,0.213674,1
83,0.21264,3
84,0.211049,2
85,0.209645,7
86,0.213188,0
87,0.216073,0
88,0.213972,7
89,0.217474,5
90,0.21695,2
91,0.22044,0
92,0.219221,2
93,0.217807,6
94,0.214955,1
95,0.213873,3
96,0.211178,6
97,0.208561,1
98,0.206623,7
99,0.210202,4
100,0.208656,3
101,0.211014,0
102,0.209948,2
103,0.21345,0
104,0.212322,2
105,0.211894,3
106,0.214078,5
107,0.21258,1
108,0.210492,6
109,0.212692,0
110,0.210569,1
111,0.213401,4
112,0.21061,6
113,0.207842,7
114,0.206438,7
115,0.206046,2
116,0.205658,2
117,0.205292,3
118,0.202758,1
119,0.20577,5
120,0.204347,7
121,0.203042,7
122,0.202744,2
123,0.201466,1
124,0.199648,6
125,0.202227,5
126,0.200877,7
127,0.204543,0
128,0.207533,4
129,0.205911,2
130,0.204614,1
131,0.202698,7
132,0.201463,6
133,0.199032,7
134,0.202721,4
135,0.205199,5
136,0.203844,7
137,0.202614,7
138,0.201411,1
139,0.199595,6
140,0.197226,7
141,0.200955,0
142,0.204026,5
143,0.202724,1
144,0.20087,1
145,0.199059,7
146,0.202801,0
147,0.205837,0
148,0.204873,3
149,0.207151,5
150,0.20584,1
151,0.208792,0
152,0.211656,0
153,0.210505,2
154,0.213361,4
155,0.21562,4
156,0.212877,7
157,0.210741,6
158,0.208104,1
159,0.205803,1
160,0.203561,1
161,0.202355,3
162,0.204874,5
163,0.203839,2
164,0.201854,7
165,2.19992,7
166,0.202919,0
167,0.200726,1
168,0.198574,1
169,0.196476,7
