Episode,TotalReward,Epsilon
0,99.6053,0.990548
1,89.6104,0.990548
2,86.8984,0.990548
3,107.385,0.981095
4,95.4061,0.981095
5,75.2893,0.981095
6,82.0988,0.981095
7,89.2434,0.981095
8,87.9467,0.981095
9,79.1545,0.981095
10,86.1658,0.981095
11,93.2548,0.981095
12,92.7376,0.981095
13,93.5962,0.981095
14,80.3763,0.981095
15,92.3081,0.981095
16,96.82,0.981095
17,97.9364,0.981095
18,89.9649,0.981095
19,91.6656,0.981095
20,97.7738,0.981095
21,91.5823,0.981095
22,88.9398,0.981095
23,100.108,0.981095
24,89.7702,0.981095
25,106.127,0.981095
26,90.7839,0.981095
27,90.9444,0.981095
28,89.9074,0.981095
29,87.1933,0.981095
30,92.8002,0.981095
31,85.2462,0.981095
32,89.7262,0.981095
33,94.9403,0.981095
34,96.5216,0.981095
35,89.0319,0.981095
36,92.1708,0.981095
37,90.3688,0.981095
38,100.522,0.981095
39,87.384,0.981095
40,99.5188,0.981095
41,93.8214,0.981095
42,83.4248,0.981095
43,94.0127,0.981095
44,91.7178,0.981095
45,86.8985,0.981095
46,98.2158,0.981095
47,85.4656,0.981095
48,84.9943,0.981095
49,96.8624,0.981095
50,92.4494,0.981095
51,94.2249,0.981095
52,94.9366,0.981095
53,93.4062,0.981095
54,89.3088,0.981095
55,95.1668,0.981095
56,88.8902,0.981095
57,88.4879,0.981095
58,97.5753,0.981095
59,97.6392,0.981095
60,96.4397,0.981095
61,90.3409,0.981095
62,87.8142,0.981095
63,93.7986,0.981095
64,96.9858,0.981095
65,93.5939,0.981095
66,92.7596,0.981095
67,96.1125,0.981095
68,84.9023,0.981095
69,105.188,0.981095
70,97.8756,0.981095
71,101.976,0.981095
72,92.6912,0.981095
73,110.015,0.971643
74,80.592,0.971643
75,94.4617,0.971643
76,86.3251,0.971643
77,87.596,0.971643
78,89.2599,0.971643
79,85.4559,0.971643
80,92.1151,0.971643
81,91.3072,0.971643
82,96.9515,0.971643
83,91.1556,0.971643
84,85.1362,0.971643
85,84.9068,0.971643
86,90.1882,0.971643
87,84.2733,0.971643
88,89.1284,0.971643
89,89.7353,0.971643
90,99.7706,0.971643
91,91.5292,0.971643
92,86.384,0.971643
93,89.5394,0.971643
94,84.869,0.971643
95,93.7267,0.971643
96,83.1328,0.971643
97,90.5689,0.971643
98,86.533,0.971643
99,97.2804,0.971643
100,86.2164,0.971643
101,85.9801,0.971643
102,83.6939,0.971643
103,90.3285,0.971643
